surface,tourney_date,player_one,player_two,player_one_ht,player_two_ht,player_one_age,player_two_age,player_one_hand,player_two_hand,player_one_ace,player_two_ace,player_one_df,player_two_df,player_one_break_point_saved,player_two_break_point_saved,player_one_break_point_faced,player_two_break_point_faced,player_one_rank,player_two_rank,player_one_rank_points,player_two_rank_points,FTR,player_one_win_percentage,player_two_win_percentage
Hard,03-01-2010,Andy Roddick,Peter Luczak,188,183,27.34839151,30.34633812,R,R,15,4,0,2,3,3,3,5,7,77,3126,598,W,85.71428571,85.29411765
Hard,03-01-2010,Carsten Ball,Mischa Zverev,198,190,22.54346338,22.37097878,L,L,10,2,3,2,0,7,0,10,134,78,400,590,W,76.66666667,64.70588235
Hard,03-01-2010,Jarkko Nieminen,Richard Gasquet,185,185,28.45174538,23.54825462,L,R,4,5,0,4,7,5,11,8,88,52,568,850,L,65.51724138,64.70588235
Hard,03-01-2010,Jurgen Melzer,Matthew Ebden,183,188,28.62149213,22.10814511,L,R,2,12,1,1,2,3,5,3,28,181,1260,151,L,55.17241379,85.71428571
Hard,03-01-2010,Nick Lindahl,Tomas Berdych,183,196,21.42915811,24.29842574,R,R,6,3,1,1,6,1,9,1,170.5,20,179,1655,L,63.41463415,88.88888889
Hard,03-01-2010,Marcos Baghdatis,Mardy Fish,183,188,24.55030801,28.07118412,R,R,7,7,5,3,0,3,1,6,42,55,945,790,W,84.375,77.77777778
Hard,03-01-2010,Harel Levy,Michael Llodra,185,190,31.41683778,29.63175907,R,L,8,0,0,0,0,5,0,10,119,67,461,649,W,78.26086957,47.22222222
Hard,03-01-2010,Juan Ignacio Chela,Thomaz Bellucci,190,188,30.34907598,22.01505818,R,L,1,12,1,4,2,6,8,10,73,36,611,1021,L,52.63157895,63.79310345
Hard,03-01-2010,James Blake,Sam Querrey,185,198,30.02053388,22.24503765,R,R,10,9,3,3,2,3,3,5,44,25,935,1320,W,85.10638298,78.84615385
Hard,03-01-2010,Marc Gicquel,Philipp Petzschner,188,185,32.76659822,25.78234086,R,R,4,4,1,2,0,1,0,5,58,80,744,587,W,92.59259259,71.42857143
Hard,03-01-2010,Florent Serra,Julian Reister,180,188,28.84873374,23.75906913,R,R,9,7,1,1,2,5,5,9,65,173,665,284,W,68.65671642,65.71428571
Hard,03-01-2010,Gael Monfils,Taylor Dent,193,188,23.34291581,28.69815195,R,R,9,6,4,4,5,8,5,10,13,76,2610,602,W,80,77.6119403
Hard,03-01-2010,Alejandro Falla,Jeremy Chardy,185,188,26.14099932,22.89390828,L,R,2,6,2,2,3,3,3,5,81,32,587,1102,W,76,78.125
Hard,03-01-2010,Arnaud Clement,Wayne Odesnik,173,180,32.04928131,24.12046543,R,L,7,10,2,1,4,7,7,9,63,105,667,521,L,76.19047619,62.06896552
Hard,03-01-2010,Alexandr Dolgopolov,Bernard Tomic,180,193,21.15811088,17.20465435,R,R,13,2,1,1,3,8,4,11,131,181,413,150,W,78.37837838,73.33333333
